id,name,created_at,updated_at
1,python,"2017-05-06 16:33:51","2017-05-06 16:33:51"
2,ads,"2017-05-08 10:55:18","2017-05-08 10:55:18"
3,hello,"2017-05-08 22:19:20","2017-05-08 22:19:20"
4,iOS,"2017-05-17 16:38:56","2017-05-17 16:38:56"
5,Android,"2017-05-17 16:38:56","2017-05-17 16:38:56"
6,"Software Engineering","2017-05-17 16:38:56","2017-05-17 16:38:56"
7,Non-Tech,"2017-05-17 16:38:57","2017-05-17 16:38:57"
8,"Web Development","2017-05-17 16:38:57","2017-05-17 16:38:57"
9,"Data Science","2017-05-17 16:38:57","2017-05-17 16:38:57"
10,"Georgia Tech Masters in CS","2017-05-17 16:38:57","2017-05-17 16:38:57"
11,search,"2017-05-17 23:44:39","2017-05-17 23:44:39"
12,good,"2017-05-17 23:44:39","2017-05-17 23:44:39"
13,bad,"2017-05-17 23:44:39","2017-05-17 23:44:39"
14,hell,"2017-05-17 23:44:39","2017-05-17 23:44:39"
15,heavven,"2017-05-17 23:44:39","2017-05-17 23:44:39"
16,"Computer Science","2017-05-19 20:40:16","2017-05-19 20:40:16"
17,"Data Analysis & Statistics","2017-05-19 20:40:16","2017-05-19 20:40:16"
18,"Business & Management","2017-05-19 20:42:18","2017-05-19 20:42:18"
19,"Economics & Finance","2017-05-19 20:42:18","2017-05-19 20:42:18"
20,Humanities,"2017-05-19 20:42:25","2017-05-19 20:42:25"
21,"Social Sciences","2017-05-19 20:42:25","2017-05-19 20:42:25"
22,Law,"2017-05-19 20:42:25","2017-05-19 20:42:25"
23,"Education & Teacher Training","2017-05-19 20:42:25","2017-05-19 20:42:25"
24,Communication,"2017-05-19 20:42:46","2017-05-19 20:42:46"
25,Engineering,"2017-05-19 20:42:46","2017-05-19 20:42:46"
26,Physics,"2017-05-19 20:42:53","2017-05-19 20:42:53"
27,Electronics,"2017-05-19 20:43:26","2017-05-19 20:43:26"
28,Science,"2017-05-19 20:43:33","2017-05-19 20:43:33"
29,Design,"2017-05-19 20:43:38","2017-05-19 20:43:38"
30,Medicine,"2017-05-19 20:43:38","2017-05-19 20:43:38"
31,Math,"2017-05-19 20:43:47","2017-05-19 20:43:47"
32,"Biology & Life Sciences","2017-05-19 20:44:11","2017-05-19 20:44:11"
33,"Philosophy & Ethics","2017-05-19 20:44:11","2017-05-19 20:44:11"
34,Ethics,"2017-05-19 20:44:11","2017-05-19 20:44:11"
35,"Art & Culture","2017-05-19 20:44:11","2017-05-19 20:44:11"
36,History,"2017-05-19 20:44:11","2017-05-19 20:44:11"
37,Architecture,"2017-05-19 20:44:11","2017-05-19 20:44:11"
38,Literature,"2017-05-19 20:44:16","2017-05-19 20:44:16"
39,"Health & Safety","2017-05-19 20:44:38","2017-05-19 20:44:38"
40,Chemistry,"2017-05-19 20:44:38","2017-05-19 20:44:38"
41,"Environmental Studies","2017-05-19 20:46:05","2017-05-19 20:46:05"
42,Language,"2017-05-19 20:46:27","2017-05-19 20:46:27"
43,"Food & Nutrition","2017-05-19 23:49:56","2017-05-19 23:49:56"
